order,id,date,time,title,url,visitCount,typedCount,transition
0,6633,5/4/2024,8:34:53,Export Chrome History,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
1,6633,5/4/2024,8:34:51,Export Chrome History,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
2,6630,5/4/2024,8:34:47,Export Chrome history to CSV | Sourcetable,"https://sourcetable.com/export-csv/chrome-history#:~:text=To%20export%20your%20Chrome%20browsing,the%20Export%20Chrome%20History%20extension.",1,0,link
3,6629,5/4/2024,8:34:44,how to extract chrome history in csv ? - Google Search,https://www.google.com/search?q=how+to+extract+chrome+history+in+csv+%3F&rlz=1C1CHBF_en-GBNP1105NP1105&oq=how+to+extract+chrome+history+in+csv+%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yDQgCEAAYhgMYgAQYigUyDQgDEAAYhgMYgAQYigUyDQgEEAAYhgMYgAQYigUyCggFEAAYgAQYogTSAQg3MTA1ajBqMagCALACAA&sourceid=chrome&ie=UTF-8,2,0,link
4,6629,5/4/2024,8:34:44,how to extract chrome history in csv ? - Google Search,https://www.google.com/search?q=how+to+extract+chrome+history+in+csv+%3F&rlz=1C1CHBF_en-GBNP1105NP1105&oq=how+to+extract+chrome+history+in+csv+%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yDQgCEAAYhgMYgAQYigUyDQgDEAAYhgMYgAQYigUyDQgEEAAYhgMYgAQYigUyCggFEAAYgAQYogTSAQg3MTA1ajBqMagCALACAA&sourceid=chrome&ie=UTF-8,2,0,generated
5,6628,5/4/2024,8:34:14,ChatGPT,https://chatgpt.com/?model=gpt-4,1,0,link
6,6627,5/4/2024,8:33:11,Google Account,https://myaccount.google.com/?utm_source=chrome-settings,2,0,link
7,6627,5/4/2024,8:33:10,Google Account,https://myaccount.google.com/?utm_source=chrome-settings,2,0,link
8,6626,5/4/2024,8:28:32,Sentiment Analysis Projects & Topics For Beginners [2024] | upGrad blog,https://www.upgrad.com/blog/sentiment-analysis-projects-topics-for-beginners/,2,0,link
9,6626,5/4/2024,8:28:30,Sentiment Analysis Projects & Topics For Beginners [2024] | upGrad blog,https://www.upgrad.com/blog/sentiment-analysis-projects-topics-for-beginners/,2,0,link
10,6625,5/4/2024,8:28:29,Top 10 Sentiment Analysis Projects and Datasets,https://www.interviewquery.com/p/sentiment-analysis-projects-and-datasets,3,0,link
11,6625,5/4/2024,8:28:28,Top 10 Sentiment Analysis Projects and Datasets,https://www.interviewquery.com/p/sentiment-analysis-projects-and-datasets,3,0,link
